FID,Elevat,Slope,ShrubCov,x_wgs,y_wgs
40,725,6.4666300,0.0512000,259797.702052000007825,3890794.050133999902755
41,727,5.7302599,0.0556000,259827.702052000007825,3890794.050133999902755
42,729,5.4380102,0.0384000,259857.702052000007825,3890794.050133999902755
43,732,6.2010498,0.0564000,259887.702052000007825,3890794.050133999902755
44,736,5.2589502,0.0616000,259917.702052000007825,3890794.050133999902755
45,738,2.0527799,0.0584000,259947.702052000007825,3890794.050133999902755
46,737,4.3804898,0.0224000,259977.702052000007825,3890794.050133999902755
47,735,8.4787102,0.0180000,260007.702052000007825,3890794.050133999902755
48,729,8.5437298,0.0096000,260037.702052000007825,3890794.050133999902755
49,726,3.1996000,0.0276000,260067.702052000007825,3890794.050133999902755
50,726,1.3917600,0.0380000,260097.702052000007825,3890794.050133999902755
51,727,2.3619900,0.0400000,260127.702052000007825,3890794.050133999902755
52,728,3.3890700,0.0084000,260157.702052000007825,3890794.050133999902755
53,730,4.1002898,0.0008000,260187.702052000007825,3890794.050133999902755
54,717,6.8040900,0.0360000,259677.702052000007825,3890764.050133999902755
55,719,6.9262500,0.0740000,259707.702052000007825,3890764.050133999902755
56,720,5.7204299,0.0756000,259737.702052000007825,3890764.050133999902755
57,721,5.0956202,0.0524000,259767.702052000007825,3890764.050133999902755
58,723,5.1506500,0.0652000,259797.702052000007825,3890764.050133999902755
59,725,5.7204299,0.0624000,259827.702052000007825,3890764.050133999902755
60,729,6.8938899,0.0624000,259857.702052000007825,3890764.050133999902755
61,733,6.6712298,0.1144000,259887.702052000007825,3890764.050133999902755
62,736,3.8436699,0.0520000,259917.702052000007825,3890764.050133999902755
63,737,2.1607900,0.0532000,259947.702052000007825,3890764.050133999902755
64,736,5.4276400,0.0560000,259977.702052000007825,3890764.050133999902755
65,732,7.8538899,0.0820000,260007.702052000007825,3890764.050133999902755
66,728,6.4666300,0.0424000,260037.702052000007825,3890764.050133999902755
67,726,2.5695000,0.0120000,260067.702052000007825,3890764.050133999902755
68,726,1.2171201,0.0816000,260097.702052000007825,3890764.050133999902755
69,726,2.0527799,0.0392000,260127.702052000007825,3890764.050133999902755
70,727,3.0357201,0.0572000,260157.702052000007825,3890764.050133999902755
71,728,4.0446901,0.0356000,260187.702052000007825,3890764.050133999902755
72,730,4.7279401,0.0080000,260217.702052000007825,3890764.050133999902755
73,732,3.0543699,0.0012000,260247.702052000007825,3890764.050133999902755
74,732,2.4563899,0.0088000,260277.702052000007825,3890764.050133999902755
75,714,3.8436699,0.0000000,259647.702052000007825,3890734.050133999902755
76,714,5.1287098,0.0144000,259677.702052000007825,3890734.050133999902755
77,716,5.9610200,0.0624000,259707.702052000007825,3890734.050133999902755
78,717,5.5507202,0.0404000,259737.702052000007825,3890734.050133999902755
79,719,5.7596202,0.0352000,259767.702052000007825,3890734.050133999902755
80,722,6.0172801,0.0476000,259797.702052000007825,3890734.050133999902755
81,725,6.8938899,0.0480000,259827.702052000007825,3890734.050133999902755
82,729,7.6092901,0.0632000,259857.702052000007825,3890734.050133999902755
83,733,6.1829300,0.0428000,259887.702052000007825,3890734.050133999902755
84,736,2.4563899,0.0240000,259917.702052000007825,3890734.050133999902755
85,735,3.7692399,0.0340000,259947.702052000007825,3890734.050133999902755
86,734,7.0620399,0.0464000,259977.702052000007825,3890734.050133999902755
87,730,7.1250200,0.0592000,260007.702052000007825,3890734.050133999902755
88,728,4.9037900,0.0444000,260037.702052000007825,3890734.050133999902755
89,725,2.7818899,0.0396000,260067.702052000007825,3890734.050133999902755
90,725,1.6876000,0.0720000,260097.702052000007825,3890734.050133999902755
91,725,2.1343000,0.0304000,260127.702052000007825,3890734.050133999902755
92,726,2.6989501,0.0276000,260157.702052000007825,3890734.050133999902755
93,727,3.0543699,0.0168000,260187.702052000007825,3890734.050133999902755
94,728,4.2626901,0.0268000,260217.702052000007825,3890734.050133999902755
95,731,3.1096301,0.0244000,260247.702052000007825,3890734.050133999902755
96,731,1.6876000,0.0180000,260277.702052000007825,3890734.050133999902755
97,732,2.7199199,0.0044000,260307.702052000007825,3890734.050133999902755
98,734,2.1607900,0.0000000,260337.702052000007825,3890734.050133999902755
99,734,1.6876000,0.0004000,260367.702052000007825,3890734.050133999902755
100,735,2.3859401,0.0000000,260397.702052000007825,3890734.050133999902755
101,712,4.5327101,0.0016000,259647.702052000007825,3890704.050133999902755
102,712,5.1396899,0.0012000,259677.702052000007825,3890704.050133999902755
103,713,5.8755698,0.0180000,259707.702052000007825,3890704.050133999902755
104,715,5.7204299,0.0420000,259737.702052000007825,3890704.050133999902755
105,717,6.2819400,0.0516000,259767.702052000007825,3890704.050133999902755
106,721,7.6603198,0.0524000,259797.702052000007825,3890704.050133999902755
107,725,8.3271399,0.0364000,259827.702052000007825,3890704.050133999902755
108,730,7.3637400,0.0496000,259857.702052000007825,3890704.050133999902755
109,733,4.9723601,0.0532000,259887.702052000007825,3890704.050133999902755
110,735,3.3722899,0.0264000,259917.702052000007825,3890704.050133999902755
111,734,6.7545800,0.0460000,259947.702052000007825,3890704.050133999902755
112,730,8.7166996,0.0380000,259977.702052000007825,3890704.050133999902755
113,727,6.8532200,0.0400000,260007.702052000007825,3890704.050133999902755
114,726,4.1687398,0.0244000,260037.702052000007825,3890704.050133999902755
115,725,2.6989501,0.0488000,260067.702052000007825,3890704.050133999902755
116,724,1.8175200,0.1092000,260097.702052000007825,3890704.050133999902755
117,724,2.0527799,0.0184000,260127.702052000007825,3890704.050133999902755
118,725,2.5695000,0.0332000,260157.702052000007825,3890704.050133999902755
119,726,2.8624101,0.0304000,260187.702052000007825,3890704.050133999902755
120,728,3.5842500,0.0260000,260217.702052000007825,3890704.050133999902755
121,730,2.6350300,0.0176000,260247.702052000007825,3890704.050133999902755
122,731,1.5095299,0.0064000,260277.702052000007825,3890704.050133999902755
123,732,2.9018199,0.0032000,260307.702052000007825,3890704.050133999902755
124,734,3.5842500,0.0000000,260337.702052000007825,3890704.050133999902755
125,736,2.3859401,0.0064000,260367.702052000007825,3890704.050133999902755
126,736,2.6989501,0.0020000,260397.702052000007825,3890704.050133999902755
127,738,4.5202298,0.0056000,260427.702052000007825,3890704.050133999902755
128,741,3.8140700,0.0048000,260457.702052000007825,3890704.050133999902755
129,742,2.3619900,0.0016000,260487.702052000007825,3890704.050133999902755
130,709,3.6469700,0.0000000,259647.702052000007825,3890674.050133999902755
131,709,3.9310999,0.0008000,259677.702052000007825,3890674.050133999902755
132,710,5.0511498,0.0008000,259707.702052000007825,3890674.050133999902755
133,713,5.9610200,0.0072000,259737.702052000007825,3890674.050133999902755
134,716,6.1829300,0.0200000,259767.702052000007825,3890674.050133999902755
135,719,8.3999901,0.0380000,259797.702052000007825,3890674.050133999902755
136,725,9.2981997,0.0552000,259827.702052000007825,3890674.050133999902755
137,729,7.1171799,0.0488000,259857.702052000007825,3890674.050133999902755
138,732,5.6412201,0.0476000,259887.702052000007825,3890674.050133999902755
139,732,7.2646298,0.0344000,259917.702052000007825,3890674.050133999902755
140,730,9.2566795,0.0340000,259947.702052000007825,3890674.050133999902755
141,726,8.7672501,0.0368000,259977.702052000007825,3890674.050133999902755
142,724,6.4925699,0.1020000,260007.702052000007825,3890674.050133999902755
143,724,5.2589502,0.0332000,260037.702052000007825,3890674.050133999902755
144,724,3.8436699,0.0352000,260067.702052000007825,3890674.050133999902755
145,723,2.1607900,0.0668000,260097.702052000007825,3890674.050133999902755
146,723,2.0527799,0.0244000,260127.702052000007825,3890674.050133999902755
147,725,3.0169599,0.0076000,260157.702052000007825,3890674.050133999902755
148,727,3.4717400,0.0452000,260187.702052000007825,3890674.050133999902755
149,729,3.4717400,0.0196000,260217.702052000007825,3890674.050133999902755
150,730,2.5695000,0.0120000,260247.702052000007825,3890674.050133999902755
151,731,1.8175200,0.0060000,260277.702052000007825,3890674.050133999902755
152,731,3.3384700,0.0056000,260307.702052000007825,3890674.050133999902755
153,734,4.5823102,0.0104000,260337.702052000007825,3890674.050133999902755
154,736,2.8821800,0.0036000,260367.702052000007825,3890674.050133999902755
155,737,2.0527799,0.0220000,260397.702052000007825,3890674.050133999902755
156,738,2.6350300,0.0092000,260427.702052000007825,3890674.050133999902755
157,740,3.1096301,0.0176000,260457.702052000007825,3890674.050133999902755
158,740,4.5327101,0.0132000,260487.702052000007825,3890674.050133999902755
159,740,5.5202098,0.0280000,260517.702052000007825,3890674.050133999902755
160,739,5.5202098,0.0424000,260547.702052000007825,3890674.050133999902755
161,739,5.0062799,0.0048000,260577.702052000007825,3890674.050133999902755
162,709,1.0127500,0.0000000,259617.702052000007825,3890644.050133999902755
163,708,1.6876000,0.0008000,259647.702052000007825,3890644.050133999902755
164,708,1.8175200,0.0008000,259677.702052000007825,3890644.050133999902755
165,709,4.2626901,0.0008000,259707.702052000007825,3890644.050133999902755
166,712,6.1738501,0.0340000,259737.702052000007825,3890644.050133999902755
167,715,6.0637698,0.0056000,259767.702052000007825,3890644.050133999902755
168,718,7.7254100,0.0416000,259797.702052000007825,3890644.050133999902755
169,723,8.6913004,0.0600000,259827.702052000007825,3890644.050133999902755
170,727,6.3969202,0.0656000,259857.702052000007825,3890644.050133999902755
171,728,6.4231501,0.0448000,259887.702052000007825,3890644.050133999902755
172,727,8.2468901,0.0632000,259917.702052000007825,3890644.050133999902755
173,725,8.0632496,0.0172000,259947.702052000007825,3890644.050133999902755
174,723,6.7958598,0.0504000,259977.702052000007825,3890644.050133999902755
175,721,5.6412201,0.0648000,260007.702052000007825,3890644.050133999902755
176,720,5.0062799,0.0684000,260037.702052000007825,3890644.050133999902755
177,721,3.9454801,0.0800000,260067.702052000007825,3890644.050133999902755
178,722,2.0248699,0.0408000,260097.702052000007825,3890644.050133999902755
179,723,1.8175200,0.0452000,260127.702052000007825,3890644.050133999902755
180,724,2.6989501,0.0324000,260157.702052000007825,3890644.050133999902755
181,725,4.3804898,0.0152000,260187.702052000007825,3890644.050133999902755
182,727,4.7636399,0.0060000,260217.702052000007825,3890644.050133999902755
183,729,3.4389100,0.0008000,260247.702052000007825,3890644.050133999902755
184,730,2.9018199,0.0020000,260277.702052000007825,3890644.050133999902755
185,732,4.6799102,0.0084000,260307.702052000007825,3890644.050133999902755
186,735,5.4380102,0.0096000,260337.702052000007825,3890644.050133999902755
187,737,3.7238700,0.0356000,260367.702052000007825,3890644.050133999902755
188,738,1.5095299,0.0448000,260397.702052000007825,3890644.050133999902755
189,738,1.2171201,0.0336000,260427.702052000007825,3890644.050133999902755
190,738,4.3933802,0.0056000,260457.702052000007825,3890644.050133999902755
191,737,5.9892201,0.0368000,260487.702052000007825,3890644.050133999902755
192,737,5.4792700,0.0280000,260517.702052000007825,3890644.050133999902755
193,736,4.0586600,0.0716000,260547.702052000007825,3890644.050133999902755
194,737,4.3933802,0.0512000,260577.702052000007825,3890644.050133999902755
195,740,7.3939600,0.0316000,260607.702052000007825,3890644.050133999902755
196,745,11.2763996,0.0396000,260637.702052000007825,3890644.050133999902755
197,752,10.8249998,0.0000000,260667.702052000007825,3890644.050133999902755
198,757,6.2010498,0.0000000,260697.702052000007825,3890644.050133999902755
199,709,1.0127500,0.0004000,259617.702052000007825,3890614.050133999902755
200,708,1.5095299,0.0016000,259647.702052000007825,3890614.050133999902755
201,707,0.7548940,0.0140000,259677.702052000007825,3890614.050133999902755
202,708,3.7692399,0.0000000,259707.702052000007825,3890614.050133999902755
203,711,6.1738501,0.0016000,259737.702052000007825,3890614.050133999902755
204,715,6.4666300,0.0004000,259767.702052000007825,3890614.050133999902755
205,718,7.0620399,0.0144000,259797.702052000007825,3890614.050133999902755
206,722,7.6530499,0.0588000,259827.702052000007825,3890614.050133999902755
207,725,6.2010498,0.0500000,259857.702052000007825,3890614.050133999902755
208,725,5.5202098,0.0328000,259887.702052000007825,3890614.050133999902755
209,723,5.3228502,0.0788000,259917.702052000007825,3890614.050133999902755
210,722,4.8225398,0.0348000,259947.702052000007825,3890614.050133999902755
211,721,4.7279401,0.0892000,259977.702052000007825,3890614.050133999902755
212,719,3.7238700,0.0608000,260007.702052000007825,3890614.050133999902755
213,718,2.2636399,0.1140000,260037.702052000007825,3890614.050133999902755
214,720,3.6313901,0.0704000,260067.702052000007825,3890614.050133999902755
215,722,2.7199199,0.0068000,260097.702052000007825,3890614.050133999902755
216,723,1.3502200,0.0088000,260127.702052000007825,3890614.050133999902755
217,723,1.8175200,0.0156000,260157.702052000007825,3890614.050133999902755
218,723,3.5204101,0.0000000,260187.702052000007825,3890614.050133999902755
219,726,4.6799102,0.0048000,260217.702052000007825,3890614.050133999902755
220,728,4.0586600,0.0068000,260247.702052000007825,3890614.050133999902755
221,730,4.9723601,0.0044000,260277.702052000007825,3890614.050133999902755
222,733,6.0637698,0.0016000,260307.702052000007825,3890614.050133999902755
223,736,5.6412201,0.0136000,260337.702052000007825,3890614.050133999902755
224,739,2.7199199,0.0192000,260367.702052000007825,3890614.050133999902755
225,739,1.4321001,0.0524000,260397.702052000007825,3890614.050133999902755
226,737,3.7692399,0.0228000,260427.702052000007825,3890614.050133999902755
227,735,5.0956202,0.0096000,260457.702052000007825,3890614.050133999902755
228,733,4.8575301,0.0192000,260487.702052000007825,3890614.050133999902755
229,734,4.3933802,0.0200000,260517.702052000007825,3890614.050133999902755
230,735,3.4389100,0.0396000,260547.702052000007825,3890614.050133999902755
231,736,4.6799102,0.0332000,260577.702052000007825,3890614.050133999902755
232,739,9.6972704,0.0328000,260607.702052000007825,3890614.050133999902755
233,747,12.5065002,0.0116000,260637.702052000007825,3890614.050133999902755
234,753,8.3004799,0.0296000,260667.702052000007825,3890614.050133999902755
235,755,4.2626901,0.0164000,260697.702052000007825,3890614.050133999902755
236,757,4.0586600,0.0140000,260727.702052000007825,3890614.050133999902755
237,758,4.7279401,0.0008000,260757.702052000007825,3890614.050133999902755
238,760,5.7596202,0.0044000,260787.702052000007825,3890614.050133999902755
239,708,1.4321001,0.0000000,259617.702052000007825,3890584.050133999902755
240,708,0.7548940,0.0024000,259647.702052000007825,3890584.050133999902755
241,707,0.4774540,0.0004000,259677.702052000007825,3890584.050133999902755
242,708,2.4331400,0.0004000,259707.702052000007825,3890584.050133999902755
243,710,5.1506500,0.0024000,259737.702052000007825,3890584.050133999902755
244,713,7.3864198,0.0032000,259767.702052000007825,3890584.050133999902755
245,716,8.7356901,0.0116000,259797.702052000007825,3890584.050133999902755
246,719,9.1369495,0.0336000,259827.702052000007825,3890584.050133999902755
247,721,7.9732299,0.0480000,259857.702052000007825,3890584.050133999902755
248,722,6.2010498,0.0060000,259887.702052000007825,3890584.050133999902755
249,722,4.6799102,0.0444000,259917.702052000007825,3890584.050133999902755
250,721,4.1687398,0.0940000,259947.702052000007825,3890584.050133999902755
251,719,3.3890700,0.0796000,259977.702052000007825,3890584.050133999902755
252,718,2.0248699,0.0604000,260007.702052000007825,3890584.050133999902755
253,718,1.3502200,0.0808000,260037.702052000007825,3890584.050133999902755
254,719,3.9310999,0.0252000,260067.702052000007825,3890584.050133999902755
255,722,2.8821800,0.0136000,260097.702052000007825,3890584.050133999902755
256,722,1.6876000,0.0036000,260127.702052000007825,3890584.050133999902755
257,722,1.6876000,0.0040000,260157.702052000007825,3890584.050133999902755
258,723,3.8140700,0.0116000,260187.702052000007825,3890584.050133999902755
259,726,4.5327101,0.0108000,260217.702052000007825,3890584.050133999902755
260,728,5.2589502,0.0060000,260247.702052000007825,3890584.050133999902755
261,732,6.6291399,0.0088000,260277.702052000007825,3890584.050133999902755
262,735,6.1829300,0.0144000,260307.702052000007825,3890584.050133999902755
263,738,4.3804898,0.0104000,260337.702052000007825,3890584.050133999902755
264,739,0.4774540,0.0124000,260367.702052000007825,3890584.050133999902755
265,738,3.5204101,0.0020000,260397.702052000007825,3890584.050133999902755
266,736,5.2266998,0.0208000,260427.702052000007825,3890584.050133999902755
267,733,4.4318199,0.0216000,260457.702052000007825,3890584.050133999902755
268,732,2.2636399,0.0328000,260487.702052000007825,3890584.050133999902755
269,732,2.3859401,0.0136000,260517.702052000007825,3890584.050133999902755
270,733,3.7692399,0.0608000,260547.702052000007825,3890584.050133999902755
271,736,6.4579501,0.0204000,260577.702052000007825,3890584.050133999902755
272,740,10.8249998,0.0124000,260607.702052000007825,3890584.050133999902755
273,747,12.3646002,0.0216000,260637.702052000007825,3890584.050133999902755
274,753,6.4579501,0.0388000,260667.702052000007825,3890584.050133999902755
275,754,2.0248699,0.0240000,260697.702052000007825,3890584.050133999902755
276,755,4.2226901,0.0368000,260727.702052000007825,3890584.050133999902755
277,756,6.1829300,0.0136000,260757.702052000007825,3890584.050133999902755
278,758,7.0620399,0.0148000,260787.702052000007825,3890584.050133999902755
279,758,7.3713102,0.0140000,260817.702052000007825,3890584.050133999902755
280,759,9.0460300,0.0072000,260847.702052000007825,3890584.050133999902755
281,765,8.0563602,0.0088000,260877.702052000007825,3890584.050133999902755
282,766,3.8140700,0.0016000,260907.702052000007825,3890584.050133999902755
283,707,3.0169599,0.0000000,259587.702052000007825,3890554.050133999902755
284,707,2.1343000,0.0024000,259617.702052000007825,3890554.050133999902755
285,708,1.0675200,0.0056000,259647.702052000007825,3890554.050133999902755
286,708,0.4774540,0.0004000,259677.702052000007825,3890554.050133999902755
287,708,1.3502200,0.0044000,259707.702052000007825,3890554.050133999902755
288,708,3.1096301,0.0020000,259737.702052000007825,3890554.050133999902755
289,709,6.0637698,0.0008000,259767.702052000007825,3890554.050133999902755
290,711,9.1067495,0.0008000,259797.702052000007825,3890554.050133999902755
291,714,10.3677998,0.0176000,259827.702052000007825,3890554.050133999902755
292,717,9.3218403,0.0112000,259857.702052000007825,3890554.050133999902755
293,718,7.8255301,0.0180000,259887.702052000007825,3890554.050133999902755
294,719,6.4231501,0.0272000,259917.702052000007825,3890554.050133999902755
295,718,4.5823102,0.0592000,259947.702052000007825,3890554.050133999902755
296,718,2.4331400,0.0908000,259977.702052000007825,3890554.050133999902755
297,718,1.7210100,0.0704000,260007.702052000007825,3890554.050133999902755
298,717,1.8175200,0.0144000,260037.702052000007825,3890554.050133999902755
299,719,4.1687398,0.0312000,260067.702052000007825,3890554.050133999902755
300,721,3.3722899,0.0012000,260097.702052000007825,3890554.050133999902755
301,721,2.1607900,0.0060000,260127.702052000007825,3890554.050133999902755
302,721,3.1818099,0.0060000,260157.702052000007825,3890554.050133999902755
303,724,5.1396899,0.0100000,260187.702052000007825,3890554.050133999902755
304,726,4.3804898,0.0044000,260217.702052000007825,3890554.050133999902755
305,728,5.6011801,0.0004000,260247.702052000007825,3890554.050133999902755
306,732,6.6712298,0.0092000,260277.702052000007825,3890554.050133999902755
307,736,5.4792700,0.0192000,260307.702052000007825,3890554.050133999902755
308,738,3.0169599,0.0088000,260337.702052000007825,3890554.050133999902755
309,739,2.1343000,0.0152000,260367.702052000007825,3890554.050133999902755
310,737,5.4792700,0.0176000,260397.702052000007825,3890554.050133999902755
311,734,6.0914798,0.0200000,260427.702052000007825,3890554.050133999902755
312,732,3.7238700,0.0216000,260457.702052000007825,3890554.050133999902755
313,731,1.2171201,0.0136000,260487.702052000007825,3890554.050133999902755
314,732,1.9091500,0.0316000,260517.702052000007825,3890554.050133999902755
315,733,5.1396899,0.0480000,260547.702052000007825,3890554.050133999902755
316,737,8.6913004,0.0156000,260577.702052000007825,3890554.050133999902755
317,742,11.6162004,0.0124000,260607.702052000007825,3890554.050133999902755
318,749,11.2041998,0.0528000,260637.702052000007825,3890554.050133999902755
319,754,4.5823102,0.0392000,260667.702052000007825,3890554.050133999902755
320,754,1.7210100,0.0120000,260697.702052000007825,3890554.050133999902755
321,752,4.0725899,0.0336000,260727.702052000007825,3890554.050133999902755
322,752,6.2550998,0.0768000,260757.702052000007825,3890554.050133999902755
323,753,7.3713102,0.0216000,260787.702052000007825,3890554.050133999902755
324,754,6.9262500,0.0284000,260817.702052000007825,3890554.050133999902755
325,756,8.7103500,0.0348000,260847.702052000007825,3890554.050133999902755
326,761,9.4215803,0.0220000,260877.702052000007825,3890554.050133999902755
327,763,7.7254100,0.0192000,260907.702052000007825,3890554.050133999902755
328,763,7.7469702,0.0188000,260937.702052000007825,3890554.050133999902755
329,759,8.7356901,0.0000000,260967.702052000007825,3890554.050133999902755
330,756,6.8040900,0.0000000,260997.702052000007825,3890554.050133999902755
331,705,3.8436699,0.0000000,259587.702052000007825,3890524.050133999902755
332,706,3.0543699,0.0020000,259617.702052000007825,3890524.050133999902755
333,707,2.1343000,0.0012000,259647.702052000007825,3890524.050133999902755
334,707,1.9091500,0.0012000,259677.702052000007825,3890524.050133999902755
335,707,1.7210100,0.0076000,259707.702052000007825,3890524.050133999902755
336,708,1.0675200,0.0032000,259737.702052000007825,3890524.050133999902755
337,707,2.1607900,0.0040000,259767.702052000007825,3890524.050133999902755
338,707,4.9037900,0.0044000,259797.702052000007825,3890524.050133999902755
339,709,7.4165401,0.0072000,259827.702052000007825,3890524.050133999902755
340,712,7.5061402,0.0124000,259857.702052000007825,3890524.050133999902755
341,714,6.4925699,0.0128000,259887.702052000007825,3890524.050133999902755
342,715,5.2696600,0.0292000,259917.702052000007825,3890524.050133999902755
343,716,3.6313901,0.0728000,259947.702052000007825,3890524.050133999902755
344,717,2.2636399,0.0540000,259977.702052000007825,3890524.050133999902755
345,717,2.1343000,0.0432000,260007.702052000007825,3890524.050133999902755
346,716,2.1607900,0.0236000,260037.702052000007825,3890524.050133999902755
347,717,4.0586600,0.0160000,260067.702052000007825,3890524.050133999902755
348,719,3.7238700,0.0008000,260097.702052000007825,3890524.050133999902755
349,720,2.7199199,0.0060000,260127.702052000007825,3890524.050133999902755
350,720,5.9892201,0.0056000,260157.702052000007825,3890524.050133999902755
351,726,7.5061402,0.0376000,260187.702052000007825,3890524.050133999902755
352,727,4.0446901,0.0096000,260217.702052000007825,3890524.050133999902755
353,730,3.5842500,0.0160000,260247.702052000007825,3890524.050133999902755
354,732,5.7498498,0.0172000,260277.702052000007825,3890524.050133999902755
355,735,6.0914798,0.0280000,260307.702052000007825,3890524.050133999902755
356,737,4.9037900,0.0224000,260337.702052000007825,3890524.050133999902755
357,737,3.9310999,0.0136000,260367.702052000007825,3890524.050133999902755
358,735,6.2010498,0.0192000,260397.702052000007825,3890524.050133999902755
359,731,5.8082199,0.0264000,260427.702052000007825,3890524.050133999902755
360,730,2.7199199,0.0232000,260457.702052000007825,3890524.050133999902755
361,731,2.0527799,0.0408000,260487.702052000007825,3890524.050133999902755
362,732,3.1096301,0.0760000,260517.702052000007825,3890524.050133999902755
363,734,6.9181700,0.0460000,260547.702052000007825,3890524.050133999902755
364,739,10.6068001,0.0168000,260577.702052000007825,3890524.050133999902755
365,744,11.9273005,0.0336000,260607.702052000007825,3890524.050133999902755
366,751,8.3999901,0.0312000,260637.702052000007825,3890524.050133999902755
367,753,2.1343000,0.0392000,260667.702052000007825,3890524.050133999902755
368,753,3.3890700,0.0188000,260697.702052000007825,3890524.050133999902755
369,751,4.7159801,0.0420000,260727.702052000007825,3890524.050133999902755
370,749,4.3154502,0.0396000,260757.702052000007825,3890524.050133999902755
371,750,5.2696600,0.0340000,260787.702052000007825,3890524.050133999902755
372,751,6.3793702,0.0436000,260817.702052000007825,3890524.050133999902755
373,754,8.5437298,0.0504000,260847.702052000007825,3890524.050133999902755
374,756,9.8319998,0.0372000,260877.702052000007825,3890524.050133999902755
375,758,9.6462202,0.0692000,260907.702052000007825,3890524.050133999902755
376,758,9.4274101,0.0340000,260937.702052000007825,3890524.050133999902755
377,755,8.9356298,0.0148000,260967.702052000007825,3890524.050133999902755
378,753,5.6011801,0.0256000,260997.702052000007825,3890524.050133999902755
379,754,5.9610200,0.0040000,261027.702052000007825,3890524.050133999902755
380,759,11.3480997,0.0000000,261057.702052000007825,3890524.050133999902755
381,767,12.5065002,0.0004000,261087.702052000007825,3890524.050133999902755
382,703,3.0543699,0.0012000,259587.702052000007825,3890494.050133999902755
383,705,3.0543699,0.0048000,259617.702052000007825,3890494.050133999902755
384,706,2.0527799,0.0024000,259647.702052000007825,3890494.050133999902755
385,706,1.2171201,0.0104000,259677.702052000007825,3890494.050133999902755
386,706,1.8175200,0.0052000,259707.702052000007825,3890494.050133999902755
387,708,0.7548940,0.0024000,259737.702052000007825,3890494.050133999902755
388,707,1.4321001,0.0500000,259767.702052000007825,3890494.050133999902755
389,706,1.2171201,0.0192000,259797.702052000007825,3890494.050133999902755
390,708,3.9310999,0.0148000,259827.702052000007825,3890494.050133999902755
391,710,4.2626901,0.0316000,259857.702052000007825,3890494.050133999902755
392,712,3.7086201,0.0104000,259887.702052000007825,3890494.050133999902755
393,713,3.7238700,0.0532000,259917.702052000007825,3890494.050133999902755
394,715,3.7086201,0.0544000,259947.702052000007825,3890494.050133999902755
395,716,2.4563899,0.0280000,259977.702052000007825,3890494.050133999902755
396,716,1.8175200,0.0160000,260007.702052000007825,3890494.050133999902755
397,715,1.2171201,0.0168000,260037.702052000007825,3890494.050133999902755
