FID,Elevat,Slope,ShrubCov,x_wgs,y_wgs
28,719,5.6571498,0.0391711,259767.702052000007825,3890741.250142999924719
29,724,6.4360499,0.0563085,259817.702052000007825,3890741.250142999924719
30,730,6.2837300,0.0597648,259867.702052000007825,3890741.250142999924719
31,736,2.7006299,0.0391711,259917.702052000007825,3890741.250142999924719
32,735,4.8500900,0.0400352,259967.702052000007825,3890741.250142999924719
33,730,6.3698702,0.0650932,260017.702052000007825,3890741.250142999924719
34,725,3.4454999,0.0311065,260067.702052000007825,3890741.250142999924719
35,725,2.1139500,0.0581806,260117.702052000007825,3890741.250142999924719
36,726,3.2939899,0.0371550,260167.702052000007825,3890741.250142999924719
37,729,3.1415999,0.0188655,260217.702052000007825,3890741.250142999924719
38,731,2.4628699,0.0168493,260267.702052000007825,3890741.250142999924719
39,733,2.3084199,0.0024482,260317.702052000007825,3890741.250142999924719
40,734,1.6327400,0.0001440,260367.702052000007825,3890741.250142999924719
41,735,3.0086701,0.0000000,260417.702052000007825,3890741.250142999924719
42,710,2.7531400,0.0000000,259617.702052000007825,3890691.250142999924719
43,710,3.8905399,0.0011521,259667.702052000007825,3890691.250142999924719
44,712,4.8542800,0.0197296,259717.702052000007825,3890691.250142999924719
45,716,6.5170202,0.0279382,259767.702052000007825,3890691.250142999924719
46,724,7.8736701,0.0426274,259817.702052000007825,3890691.250142999924719
47,731,5.8124800,0.0499720,259867.702052000007825,3890691.250142999924719
48,734,4.8668199,0.0358589,259917.702052000007825,3890691.250142999924719
49,730,7.5834899,0.0375870,259967.702052000007825,3890691.250142999924719
50,725,6.1734800,0.0609169,260017.702052000007825,3890691.250142999924719
51,724,2.9882200,0.0407553,260067.702052000007825,3890691.250142999924719
52,723,1.8225300,0.0560205,260117.702052000007825,3890691.250142999924719
53,726,2.9882200,0.0246260,260167.702052000007825,3890691.250142999924719
54,729,2.9882200,0.0290903,260217.702052000007825,3890691.250142999924719
55,731,2.3610301,0.0106569,260267.702052000007825,3890691.250142999924719
56,732,2.8766601,0.0057605,260317.702052000007825,3890691.250142999924719
57,736,2.9468801,0.0059045,260367.702052000007825,3890691.250142999924719
58,737,2.5606401,0.0087847,260417.702052000007825,3890691.250142999924719
59,741,2.5040700,0.0108009,260467.702052000007825,3890691.250142999924719
60,742,3.6019199,0.0120970,260517.702052000007825,3890691.250142999924719
61,740,4.3410602,0.0056165,260567.702052000007825,3890691.250142999924719
62,709,1.0328000,0.0005760,259617.702052000007825,3890641.250142999924719
63,708,1.6327400,0.0008641,259667.702052000007825,3890641.250142999924719
64,710,4.2844000,0.0108009,259717.702052000007825,3890641.250142999924719
65,715,6.7777300,0.0145452,259767.702052000007825,3890641.250142999924719
66,721,7.5676198,0.0580366,259817.702052000007825,3890641.250142999924719
67,728,5.5450401,0.0537163,259867.702052000007825,3890641.250142999924719
68,726,6.3157701,0.0527082,259917.702052000007825,3890641.250142999924719
69,723,6.6061301,0.0436355,259967.702052000007825,3890641.250142999924719
70,720,4.4338598,0.0738779,260017.702052000007825,3890641.250142999924719
71,721,2.8192101,0.0637971,260067.702052000007825,3890641.250142999924719
72,723,2.4628699,0.0321146,260117.702052000007825,3890641.250142999924719
73,725,2.8979001,0.0341307,260167.702052000007825,3890641.250142999924719
74,727,3.5848899,0.0040323,260217.702052000007825,3890641.250142999924719
75,730,3.6019199,0.0027362,260267.702052000007825,3890641.250142999924719
76,733,4.1638498,0.0076326,260317.702052000007825,3890641.250142999924719
77,737,3.0086701,0.0231859,260367.702052000007825,3890641.250142999924719
78,739,0.7303410,0.0329786,260417.702052000007825,3890641.250142999924719
79,737,3.8164501,0.0169934,260467.702052000007825,3890641.250142999924719
80,736,4.7183800,0.0217457,260517.702052000007825,3890641.250142999924719
81,737,4.0446901,0.0594767,260567.702052000007825,3890641.250142999924719
82,741,8.2552204,0.0282263,260617.702052000007825,3890641.250142999924719
83,752,9.0946398,0.0108009,260667.702052000007825,3890641.250142999924719
84,758,5.4193401,0.0020162,260717.702052000007825,3890641.250142999924719
85,709,1.1810200,0.0000000,259617.702052000007825,3890591.250142999924719
86,707,0.5729390,0.0060485,259667.702052000007825,3890591.250142999924719
87,708,3.3917401,0.0008641,259717.702052000007825,3890591.250142999924719
88,714,6.5324798,0.0018721,259767.702052000007825,3890591.250142999924719
89,720,8.0593901,0.0230418,259817.702052000007825,3890591.250142999924719
90,723,6.9420500,0.0313945,259867.702052000007825,3890591.250142999924719
91,722,5.4380102,0.0470918,259917.702052000007825,3890591.250142999924719
92,720,3.9735100,0.0720057,259967.702052000007825,3890591.250142999924719
93,718,2.1900699,0.0747420,260017.702052000007825,3890591.250142999924719
94,719,2.6624899,0.0462277,260067.702052000007825,3890591.250142999924719
95,722,2.7006299,0.0084967,260117.702052000007825,3890591.250142999924719
96,723,2.5040700,0.0047524,260167.702052000007825,3890591.250142999924719
97,725,4.0446901,0.0050404,260217.702052000007825,3890591.250142999924719
98,730,5.1742401,0.0092167,260267.702052000007825,3890591.250142999924719
99,735,4.8876500,0.0093608,260317.702052000007825,3890591.250142999924719
100,739,1.0127500,0.0132491,260367.702052000007825,3890591.250142999924719
101,737,3.6637199,0.0201616,260417.702052000007825,3890591.250142999924719
102,733,3.7299500,0.0231859,260467.702052000007825,3890591.250142999924719
103,732,2.5040700,0.0205936,260517.702052000007825,3890591.250142999924719
104,735,5.3020701,0.0443555,260567.702052000007825,3890591.250142999924719
105,742,9.8364601,0.0139691,260617.702052000007825,3890591.250142999924719
106,753,7.4123302,0.0332667,260667.702052000007825,3890591.250142999924719
107,755,3.2439899,0.0273622,260717.702052000007825,3890591.250142999924719
108,758,5.4380102,0.0116649,260767.702052000007825,3890591.250142999924719
109,759,7.4285498,0.0102248,260817.702052000007825,3890591.250142999924719
110,764,6.4579501,0.0064805,260867.702052000007825,3890591.250142999924719
111,766,4.1638498,0.0017281,260917.702052000007825,3890591.250142999924719
112,707,2.5606401,0.0020162,259617.702052000007825,3890541.250142999924719
113,708,1.0907500,0.0020162,259667.702052000007825,3890541.250142999924719
114,708,1.8337300,0.0051844,259717.702052000007825,3890541.250142999924719
115,708,4.6093602,0.0024482,259767.702052000007825,3890541.250142999924719
116,710,7.4743099,0.0093608,259817.702052000007825,3890541.250142999924719
117,715,7.2646298,0.0103688,259867.702052000007825,3890541.250142999924719
118,717,4.9331698,0.0318265,259917.702052000007825,3890541.250142999924719
119,717,2.7232599,0.0705656,259967.702052000007825,3890541.250142999924719
120,717,1.5817300,0.0459397,260017.702052000007825,3890541.250142999924719
121,718,2.6393399,0.0188655,260067.702052000007825,3890541.250142999924719
122,721,3.0957301,0.0023042,260117.702052000007825,3890541.250142999924719
123,722,3.5791900,0.0112329,260167.702052000007825,3890541.250142999924719
124,726,4.5426798,0.0097928,260217.702052000007825,3890541.250142999924719
125,731,4.5828099,0.0082087,260267.702052000007825,3890541.250142999924719
126,736,4.8037701,0.0192975,260317.702052000007825,3890541.250142999924719
127,739,2.8119500,0.0138251,260367.702052000007825,3890541.250142999924719
128,733,4.8876500,0.0180014,260417.702052000007825,3890541.250142999924719
129,731,2.1807001,0.0243379,260467.702052000007825,3890541.250142999924719
130,732,3.1480999,0.0456516,260517.702052000007825,3890541.250142999924719
131,736,7.7455401,0.0253460,260567.702052000007825,3890541.250142999924719
132,744,9.7051897,0.0309625,260617.702052000007825,3890541.250142999924719
133,754,4.2986398,0.0361469,260667.702052000007825,3890541.250142999924719
134,753,3.6469700,0.0246260,260717.702052000007825,3890541.250142999924719
135,751,5.5850801,0.0594767,260767.702052000007825,3890541.250142999924719
136,753,7.4528098,0.0233299,260817.702052000007825,3890541.250142999924719
137,758,8.3989401,0.0339867,260867.702052000007825,3890541.250142999924719
138,761,7.4123302,0.0342747,260917.702052000007825,3890541.250142999924719
139,758,7.2646298,0.0135371,260967.702052000007825,3890541.250142999924719
140,754,4.4749799,0.0051844,261017.702052000007825,3890541.250142999924719
141,762,8.9605398,0.0000000,261067.702052000007825,3890541.250142999924719
142,702,1.4321001,0.0001440,259567.702052000007825,3890491.250142999924719
143,705,2.4628699,0.0034563,259617.702052000007825,3890491.250142999924719
144,706,1.6327400,0.0060485,259667.702052000007825,3890491.250142999924719
145,707,1.1810200,0.0044644,259717.702052000007825,3890491.250142999924719
146,707,1.2809600,0.0228978,259767.702052000007825,3890491.250142999924719
147,707,3.1415999,0.0217457,259817.702052000007825,3890491.250142999924719
148,711,4.0647998,0.0352828,259867.702052000007825,3890491.250142999924719
149,713,3.6637199,0.0348508,259917.702052000007825,3890491.250142999924719
150,716,2.4628699,0.0518441,259967.702052000007825,3890491.250142999924719
151,716,1.3586299,0.0234739,260017.702052000007825,3890491.250142999924719
152,716,2.0349600,0.0120970,260067.702052000007825,3890491.250142999924719
153,718,3.3493299,0.0087847,260117.702052000007825,3890491.250142999924719
154,722,5.5705600,0.0169934,260167.702052000007825,3890491.250142999924719
155,730,3.3187001,0.0171374,260217.702052000007825,3890491.250142999924719
156,728,3.4632399,0.0326906,260267.702052000007825,3890491.250142999924719
157,732,5.6678801,0.0257781,260317.702052000007825,3890491.250142999924719
158,734,4.2076502,0.0096488,260367.702052000007825,3890491.250142999924719
159,731,3.8430800,0.0207377,260417.702052000007825,3890491.250142999924719
160,729,1.2320000,0.0201616,260467.702052000007825,3890491.250142999924719
161,732,5.1742401,0.0678294,260517.702052000007825,3890491.250142999924719
162,739,9.3015099,0.0306744,260567.702052000007825,3890491.250142999924719
163,750,7.3770499,0.0407553,260617.702052000007825,3890491.250142999924719
164,751,1.7302400,0.0325466,260667.702052000007825,3890491.250142999924719
165,749,4.1245198,0.0316825,260717.702052000007825,3890491.250142999924719
166,747,4.2076502,0.0439235,260767.702052000007825,3890491.250142999924719
167,748,5.6999502,0.0260661,260817.702052000007825,3890491.250142999924719
168,750,7.4069099,0.0538603,260867.702052000007825,3890491.250142999924719
169,753,7.5490499,0.0437795,260917.702052000007825,3890491.250142999924719
170,750,6.1010599,0.0313945,260967.702052000007825,3890491.250142999924719
171,751,6.1373801,0.0177134,261017.702052000007825,3890491.250142999924719
172,760,10.0564003,0.0018721,261067.702052000007825,3890491.250142999924719
173,768,11.2840996,0.0044644,261117.702052000007825,3890491.250142999924719
174,776,12.9955997,0.0024482,261167.702052000007825,3890491.250142999924719
175,783,12.3701000,0.0000000,261217.702052000007825,3890491.250142999924719
176,786,11.6485996,0.0000000,261267.702052000007825,3890491.250142999924719
177,703,0.2864770,0.0048964,259567.702052000007825,3890441.250142999924719
178,704,1.7302400,0.0149772,259617.702052000007825,3890441.250142999924719
179,706,1.6201400,0.0148332,259667.702052000007825,3890441.250142999924719
180,706,1.0907500,0.0103688,259717.702052000007825,3890441.250142999924719
181,706,1.0328000,0.0106569,259767.702052000007825,3890441.250142999924719
182,708,2.1900699,0.0290903,259817.702052000007825,3890441.250142999924719
183,710,2.3696799,0.0492519,259867.702052000007825,3890441.250142999924719
184,711,2.8624101,0.0498280,259917.702052000007825,3890441.250142999924719
185,714,2.8408899,0.0360029,259967.702052000007825,3890441.250142999924719
186,715,2.1139500,0.0169934,260017.702052000007825,3890441.250142999924719
187,716,2.0649300,0.0195856,260067.702052000007825,3890441.250142999924719
188,718,3.4395700,0.0192975,260117.702052000007825,3890441.250142999924719
189,722,5.7810602,0.0375870,260167.702052000007825,3890441.250142999924719
190,728,3.9062400,0.0381630,260217.702052000007825,3890441.250142999924719
191,724,4.4885998,0.0485319,260267.702052000007825,3890441.250142999924719
192,729,5.7810602,0.0125290,260317.702052000007825,3890441.250142999924719
193,730,4.5828099,0.0213137,260367.702052000007825,3890441.250142999924719
194,729,2.9189899,0.0203056,260417.702052000007825,3890441.250142999924719
195,729,2.5365500,0.0269301,260467.702052000007825,3890441.250142999924719
196,733,6.3029799,0.0427714,260517.702052000007825,3890441.250142999924719
197,740,8.8107300,0.0207377,260567.702052000007825,3890441.250142999924719
198,749,5.5120502,0.0354268,260617.702052000007825,3890441.250142999924719
199,749,2.4461901,0.0443555,260667.702052000007825,3890441.250142999924719
200,747,3.6469700,0.0361469,260717.702052000007825,3890441.250142999924719
201,744,3.1996000,0.0355708,260767.702052000007825,3890441.250142999924719
202,744,3.6188800,0.0352828,260817.702052000007825,3890441.250142999924719
203,746,4.4338598,0.0509801,260867.702052000007825,3890441.250142999924719
204,746,4.2076502,0.0436355,260917.702052000007825,3890441.250142999924719
205,747,3.0824900,0.0300984,260967.702052000007825,3890441.250142999924719
206,749,6.2288599,0.0012961,261017.702052000007825,3890441.250142999924719
207,758,7.7713399,0.0139691,261067.702052000007825,3890441.250142999924719
208,761,8.5307703,0.0131050,261117.702052000007825,3890441.250142999924719
209,766,11.3717003,0.0072006,261167.702052000007825,3890441.250142999924719
210,772,11.1939001,0.0041763,261217.702052000007825,3890441.250142999924719
211,773,8.6535702,0.0067685,261267.702052000007825,3890441.250142999924719
212,768,7.0398698,0.0139691,261317.702052000007825,3890441.250142999924719
213,770,9.3736095,0.0040323,261367.702052000007825,3890441.250142999924719
214,779,11.9118996,0.0000000,261417.702052000007825,3890441.250142999924719
215,703,1.1810200,0.0053284,259567.702052000007825,3890391.250142999924719
216,703,1.6327400,0.0046084,259617.702052000007825,3890391.250142999924719
217,704,2.5606401,0.0028802,259667.702052000007825,3890391.250142999924719
218,705,2.0349600,0.0069125,259717.702052000007825,3890391.250142999924719
219,706,1.4321001,0.0210257,259767.702052000007825,3890391.250142999924719
220,707,2.0349600,0.0551564,259817.702052000007825,3890391.250142999924719
221,709,2.4378099,0.0496840,259867.702052000007825,3890391.250142999924719
222,710,2.8336799,0.0457957,259917.702052000007825,3890391.250142999924719
223,712,2.6624899,0.0394592,259967.702052000007825,3890391.250142999924719
224,712,2.6624899,0.0259221,260017.702052000007825,3890391.250142999924719
225,715,2.8624101,0.0070566,260067.702052000007825,3890391.250142999924719
226,716,4.0647998,0.0321146,260117.702052000007825,3890391.250142999924719
227,720,5.8679199,0.0341307,260167.702052000007825,3890391.250142999924719
228,722,5.0991602,0.0120970,260217.702052000007825,3890391.250142999924719
229,721,4.7698002,0.0191535,260267.702052000007825,3890391.250142999924719
230,723,5.5559902,0.0105128,260317.702052000007825,3890391.250142999924719
231,725,4.8037701,0.0213137,260367.702052000007825,3890391.250142999924719
232,726,2.8624101,0.0334107,260417.702052000007825,3890391.250142999924719
233,728,4.7140698,0.0036003,260467.702052000007825,3890391.250142999924719
234,734,6.5847301,0.0286583,260517.702052000007825,3890391.250142999924719
235,740,5.8679199,0.0444996,260567.702052000007825,3890391.250142999924719
236,746,5.0672102,0.0506920,260617.702052000007825,3890391.250142999924719
237,747,4.5828099,0.0753180,260667.702052000007825,3890391.250142999924719
238,745,3.9270599,0.0288023,260717.702052000007825,3890391.250142999924719
239,742,2.5040700,0.0285143,260767.702052000007825,3890391.250142999924719
240,742,2.0846801,0.0388831,260817.702052000007825,3890391.250142999924719
241,743,2.5040700,0.0136811,260867.702052000007825,3890391.250142999924719
242,744,2.2363400,0.0185775,260917.702052000007825,3890391.250142999924719
243,746,2.0649300,0.0038883,260967.702052000007825,3890391.250142999924719
244,748,5.1938200,0.0066245,261017.702052000007825,3890391.250142999924719
245,755,6.6668601,0.0476678,261067.702052000007825,3890391.250142999924719
246,755,6.8955102,0.0324026,261117.702052000007825,3890391.250142999924719
247,759,8.2503901,0.0102248,261167.702052000007825,3890391.250142999924719
248,764,7.8609600,0.0090727,261217.702052000007825,3890391.250142999924719
249,770,5.2867398,0.0109449,261267.702052000007825,3890391.250142999924719
250,766,6.7030301,0.0290903,261317.702052000007825,3890391.250142999924719
251,765,9.0289497,0.0108009,261367.702052000007825,3890391.250142999924719
252,769,12.5691996,0.0090727,261417.702052000007825,3890391.250142999924719
253,769,11.6370001,0.0136811,261467.702052000007825,3890391.250142999924719
254,762,6.5170202,0.0073446,261517.702052000007825,3890391.250142999924719
255,763,3.4808800,0.0027362,261567.702052000007825,3890391.250142999924719
256,700,2.1523499,0.0000000,259517.702052000007825,3890341.250142999924719
257,702,1.8337300,0.0027362,259567.702052000007825,3890341.250142999924719
258,702,0.9058500,0.0027362,259617.702052000007825,3890341.250142999924719
259,700,1.4321001,0.0133931,259667.702052000007825,3890341.250142999924719
260,704,2.1807001,0.0260661,259717.702052000007825,3890341.250142999924719
261,705,1.4321001,0.0256340,259767.702052000007825,3890341.250142999924719
262,706,1.9942900,0.0276502,259817.702052000007825,3890341.250142999924719
263,706,2.7006299,0.0455076,259867.702052000007825,3890341.250142999924719
264,708,3.0357201,0.0535723,259917.702052000007825,3890341.250142999924719
265,710,2.6315701,0.0262101,259967.702052000007825,3890341.250142999924719
266,711,3.5332699,0.0218897,260017.702052000007825,3890341.250142999924719
267,713,4.0698099,0.0030242,260067.702052000007825,3890341.250142999924719
268,712,4.4749799,0.0352828,260117.702052000007825,3890341.250142999924719
269,715,5.0872002,0.0159853,260167.702052000007825,3890341.250142999924719
270,717,3.9062400,0.0067685,260217.702052000007825,3890341.250142999924719
271,718,3.1675100,0.0043203,260267.702052000007825,3890341.250142999924719
272,719,3.4632399,0.0315385,260317.702052000007825,3890341.250142999924719
273,721,4.4384499,0.0568845,260367.702052000007825,3890341.250142999924719
274,726,5.6892800,0.0123850,260417.702052000007825,3890341.250142999924719
275,732,6.5108299,0.0073446,260467.702052000007825,3890341.250142999924719
276,738,5.2520900,0.0322586,260517.702052000007825,3890341.250142999924719
277,741,2.1807001,0.0197296,260567.702052000007825,3890341.250142999924719
278,739,3.9270599,0.0247700,260617.702052000007825,3890341.250142999924719
279,741,5.1506500,0.0506920,260667.702052000007825,3890341.250142999924719
280,741,4.1687398,0.0224658,260717.702052000007825,3890341.250142999924719
281,741,2.4378099,0.0296664,260767.702052000007825,3890341.250142999924719
282,741,1.6327400,0.0093608,260817.702052000007825,3890341.250142999924719
283,741,2.1139500,0.0181454,260867.702052000007825,3890341.250142999924719
284,744,2.3610301,0.0014401,260917.702052000007825,3890341.250142999924719
285,746,1.4744101,0.0038883,260967.702052000007825,3890341.250142999924719
286,745,3.6914599,0.0105128,261017.702052000007825,3890341.250142999924719
287,748,5.4936299,0.0403232,261067.702052000007825,3890341.250142999924719
288,750,6.8896799,0.0237619,261117.702052000007825,3890341.250142999924719
289,756,8.9227800,0.0263541,261167.702052000007825,3890341.250142999924719
290,761,9.1468296,0.0332667,261217.702052000007825,3890341.250142999924719
291,764,7.0198398,0.0083527,261267.702052000007825,3890341.250142999924719
292,760,7.2341499,0.0224658,261317.702052000007825,3890341.250142999924719
293,754,6.3029799,0.0276502,261367.702052000007825,3890341.250142999924719
294,757,6.8955102,0.0370110,261417.702052000007825,3890341.250142999924719
295,759,3.7189901,0.0633651,261467.702052000007825,3890341.250142999924719
296,763,7.8914399,0.0632210,261517.702052000007825,3890341.250142999924719
297,769,15.6197004,0.0725818,261567.702052000007825,3890341.250142999924719
298,780,20.5618992,0.0819425,261617.702052000007825,3890341.250142999924719
299,794,21.7054005,0.0216017,261667.702052000007825,3890341.250142999924719
300,806,16.0312996,0.0763261,261717.702052000007825,3890341.250142999924719
301,808,6.4109201,0.0017281,261767.702052000007825,3890341.250142999924719
302,698,2.5924101,0.0014401,259517.702052000007825,3890291.250142999924719
303,701,2.8624101,0.0139691,259567.702052000007825,3890291.250142999924719
304,702,0.6076910,0.0046084,259617.702052000007825,3890291.250142999924719
305,702,0.8593720,0.0177134,259667.702052000007825,3890291.250142999924719
306,704,1.6699700,0.0159853,259717.702052000007825,3890291.250142999924719
307,704,1.6327400,0.0329786,259767.702052000007825,3890291.250142999924719
308,704,1.4744101,0.0423394,259817.702052000007825,3890291.250142999924719
309,704,1.6699700,0.0371550,259867.702052000007825,3890291.250142999924719
310,707,2.2363400,0.0699896,259917.702052000007825,3890291.250142999924719
311,708,2.4378099,0.0296664,259967.702052000007825,3890291.250142999924719
312,706,3.3187001,0.0142571,260017.702052000007825,3890291.250142999924719
313,708,3.7189901,0.0185775,260067.702052000007825,3890291.250142999924719
314,709,3.6469700,0.0393151,260117.702052000007825,3890291.250142999924719
315,713,3.5848899,0.0204496,260167.702052000007825,3890291.250142999924719
316,715,2.6315701,0.0155532,260217.702052000007825,3890291.250142999924719
317,717,2.2363400,0.0142571,260267.702052000007825,3890291.250142999924719
318,717,2.8979001,0.0266421,260317.702052000007825,3890291.250142999924719
319,722,6.2772999,0.0288023,260367.702052000007825,3890291.250142999924719
320,730,7.1756001,0.0154092,260417.702052000007825,3890291.250142999924719
321,735,4.8668199,0.0260661,260467.702052000007825,3890291.250142999924719
322,738,3.0625401,0.0684055,260517.702052000007825,3890291.250142999924719
323,739,3.2939899,0.0571726,260567.702052000007825,3890291.250142999924719
324,738,3.4808800,0.0253460,260617.702052000007825,3890291.250142999924719
325,737,3.7189901,0.0231859,260667.702052000007825,3890291.250142999924719
326,737,3.8164501,0.0151212,260717.702052000007825,3890291.250142999924719
327,739,3.1675100,0.0119530,260767.702052000007825,3890291.250142999924719
328,739,2.3696799,0.0034563,260817.702052000007825,3890291.250142999924719
329,741,3.0086701,0.0188655,260867.702052000007825,3890291.250142999924719
330,744,2.2636399,0.0036003,260917.702052000007825,3890291.250142999924719
331,744,2.0248699,0.0064805,260967.702052000007825,3890291.250142999924719
332,743,2.7157400,0.0001440,261017.702052000007825,3890291.250142999924719
333,746,3.9270599,0.0142571,261067.702052000007825,3890291.250142999924719
334,744,5.9907198,0.0131050,261117.702052000007825,3890291.250142999924719
335,746,8.8960304,0.0288023,261167.702052000007825,3890291.250142999924719
336,751,10.5909996,0.0234739,261217.702052000007825,3890291.250142999924719
337,757,8.3656397,0.0074886,261267.702052000007825,3890291.250142999924719
338,756,4.4384499,0.0125290,261317.702052000007825,3890291.250142999924719
339,755,0.8593720,0.0555884,261367.702052000007825,3890291.250142999924719
340,755,5.2675200,0.0563085,261417.702052000007825,3890291.250142999924719
341,765,10.2730999,0.0139691,261467.702052000007825,3890291.250142999924719
342,774,13.7980003,0.0348508,261517.702052000007825,3890291.250142999924719
343,786,17.1240005,0.0743099,261567.702052000007825,3890291.250142999924719
344,800,16.5583000,0.1864950,261617.702052000007825,3890291.250142999924719
345,809,11.2426004,0.0799264,261667.702052000007825,3890291.250142999924719
346,815,0.8593720,0.0698456,261717.702052000007825,3890291.250142999924719
347,807,7.6623502,0.0113769,261767.702052000007825,3890291.250142999924719
348,801,10.8880997,0.0126730,261817.702052000007825,3890291.250142999924719
349,802,12.2903996,0.0057605,261867.702052000007825,3890291.250142999924719
350,801,11.1433001,0.0004320,261917.702052000007825,3890291.250142999924719
351,696,1.2809600,0.0074886,259517.702052000007825,3890241.250142999924719
352,698,3.0086701,0.0263541,259567.702052000007825,3890241.250142999924719
353,702,1.8225300,0.0181454,259617.702052000007825,3890241.250142999924719
354,701,1.2809600,0.0113769,259667.702052000007825,3890241.250142999924719
355,702,1.4744101,0.0120970,259717.702052000007825,3890241.250142999924719
356,702,1.4604501,0.0122410,259767.702052000007825,3890241.250142999924719
357,703,1.8669500,0.0517001,259817.702052000007825,3890241.250142999924719
358,706,1.4321001,0.0420514,259867.702052000007825,3890241.250142999924719
359,705,1.9103400,0.0593327,259917.702052000007825,3890241.250142999924719
360,706,2.4378099,0.0190095,259967.702052000007825,3890241.250142999924719
361,705,2.1523499,0.0048964,260017.702052000007825,3890241.250142999924719
362,706,2.6315701,0.0266421,260067.702052000007825,3890241.250142999924719
363,708,3.7788501,0.0056165,260117.702052000007825,3890241.250142999924719
364,713,3.6469700,0.0177134,260167.702052000007825,3890241.250142999924719
365,713,3.3917401,0.0145452,260217.702052000007825,3890241.250142999924719
366,715,3.4925900,0.0145452,260267.702052000007825,3890241.250142999924719
367,717,4.0897899,0.0293783,260317.702052000007825,3890241.250142999924719
368,721,6.8221502,0.0243379,260367.702052000007825,3890241.250142999924719
369,728,8.1014204,0.0400352,260417.702052000007825,3890241.250142999924719
370,734,6.0844698,0.0273622,260467.702052000007825,3890241.250142999924719
371,734,5.5850801,0.0190095,260517.702052000007825,3890241.250142999924719
372,734,6.2772999,0.0106569,260567.702052000007825,3890241.250142999924719
373,734,5.3020701,0.0339867,260617.702052000007825,3890241.250142999924719
374,734,3.6019199,0.0089287,260667.702052000007825,3890241.250142999924719
375,734,3.0086701,0.0077766,260717.702052000007825,3890241.250142999924719
376,736,2.9468801,0.0031682,260767.702052000007825,3890241.250142999924719
377,737,2.9468801,0.0218897,260817.702052000007825,3890241.250142999924719
378,739,4.0497298,0.0028802,260867.702052000007825,3890241.250142999924719
379,743,3.1415999,0.0001440,260917.702052000007825,3890241.250142999924719
380,741,2.0045300,0.0053284,260967.702052000007825,3890241.250142999924719
381,742,1.6327400,0.0018721,261017.702052000007825,3890241.250142999924719
382,741,2.0846801,0.0115209,261067.702052000007825,3890241.250142999924719
383,740,2.0846801,0.0296664,261117.702052000007825,3890241.250142999924719
384,742,3.2939899,0.0473798,261167.702052000007825,3890241.250142999924719
385,743,5.1506500,0.0643731,261217.702052000007825,3890241.250142999924719
386,749,5.4566102,0.0748860,261267.702052000007825,3890241.250142999924719
387,752,3.8430800,0.0733019,261317.702052000007825,3890241.250142999924719
388,755,2.7531400,0.0491079,261367.702052000007825,3890241.250142999924719
389,757,6.6759200,0.0358589,261417.702052000007825,3890241.250142999924719
390,766,11.0466003,0.0187215,261467.702052000007825,3890241.250142999924719
391,779,11.7233000,0.0141131,261517.702052000007825,3890241.250142999924719
392,791,12.5124998,0.0070566,261567.702052000007825,3890241.250142999924719
393,802,11.6786003,0.0116649,261617.702052000007825,3890241.250142999924719
394,808,9.8944197,0.0120970,261667.702052000007825,3890241.250142999924719
395,807,10.1304998,0.0129610,261717.702052000007825,3890241.250142999924719
396,798,10.8376999,0.0105128,261767.702052000007825,3890241.250142999924719
